shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,Camden Town,0,1091,903,
1,point,Marble Arch,0,896,552,
2,point,London Bridge,0,1551,455,
3,point,St James Street,0,1124,324,
4,point,Victoria,0,1032,309,
5,point,Sloane Square,0,905,264,
6,point,Hyde Park Corner,0,944,410,
7,point,Bank,0,1553,606,
8,point,Post Office,0,1466,624,
9,point,Monument,0,1597,550,
10,point,Borough,0,1510,385,
11,point,Elephant and Castle,0,1439,291,
12,point,Blackfriars,0,1419,545,
13,point,Temple,0,1317,516,
14,point,Waterloo,0,1312,378,
15,point,Westminster Bridge Road,0,1365,312,
16,point,Kennington,0,1411,234,
17,point,Oval,0,1381,176,
18,point,Stockwell ,0,1352,125,
19,point,Clapham South,0,1331,84,
20,point,Clapham Common,0,1309,40,
21,point,Oxford Circus,0,1048,581,
22,point,Bond Street,0,979,569,
23,point,Westminster,0,1220,351,
24,point,Down Street,0,999,428,
25,point,Dover Street,0,1054,452,
26,point,Euston,0,1140,792,
27,point,Tottenham Court Road,0,1173,600,
28,point,Russell Square,0,1236,700,
29,point,Angel,0,1402,788,
30,point,Strand,0,1289,534,
31,point,Kings Cross,0,1245,812,
32,point,York Road,0,1259,888,
33,point,Old Street,0,1522,730,
34,point,Chancery Lane,0,1313,620,
35,point,Holborn,0,1265,592,
36,point,Covent Garden,0,1224,543,
37,point,Charing Cross,0,1225,454,
38,point,Piccadilly Circus,0,1116,484,
39,point,Trafalgar Square,0,1199,437,
40,point,Charing Cross,0,1243,421,
41,point,Gower Street,0,1131,736,
42,point,South Kentishtown,0,1092,961,
43,point,Chalk Farm,0,988,966,
44,point,Belsize Park,0,881,1071,
45,point,Kentishtown,0,1097,1023,
46,point,Knightsbridge,0,873,396,
47,point,Lancaster Gate,0,772,532,
48,point,Queens Road,0,652,499,
49,point,Nottting Hill Gate,0,588,456,
50,point,Bayswater,0,623,524,
51,point,Royal Oak,0,667,619,
52,point,Westbourne Park,0,545,628,
53,point,Praed Street,0,777,573,
54,point,Brompton Road,0,811,334,
55,point,Mark Lane,0,1655,538,
56,point,Bishopsgate,0,1624,638,
57,point,Aldergate,0,1472,664,
58,point,Farringdon Street,0,1385,669,
59,point,City Road,0,1456,768,
60,point,Mansion House,0,1500,553,
61,point,Cannon Street,0,1530,558,
62,point,Aldgate,0,1720,613,
63,point,St Marys,0,1798,657,
64,point,Whitechapel,0,1843,677,
65,point,Moorgate,0,1551,661,
66,point,Finsbury Park,0,1356,1206,
67,point,Drayton Park,0,1395,1097,
68,point,Highbury,0,1451,1018,
69,point,Essex Road,0,1510,897,
70,point,Gillespie Road,0,1341,1140,
71,point,Holloway Road,0,1313,1062,
72,point,York Road,0,1281,996,
73,point,Highgate,0,1111,1217,
74,point,Tufnell Park,0,1109,1132,
75,point,Golders Green,0,611,1329,
76,point,Hampstead,0,759,1155,
77,point,Kingsbury Neasden,0,106,1022,
78,point,Willesden Green,0,295,1017,
79,point,Kilburn Brondesbury,0,403,1015,
80,point,West Hampstead,0,549,1015,
81,point,Finchley Road and Frognal,0,736,994,
82,point,Swiss Cottage,0,777,936,
83,point,Marlboro Road,0,783,861,
84,point,St Johns,0,835,781,
85,point,Baker Street,0,923,680,
86,point,Bishops Road,0,750,615,
87,point,Edgware Road,0,831,621,
88,point,Great Central,0,874,676,
89,point,Regents Park,0,990,705,
90,point,Portland Road,0,1036,695,
91,point,Leicester Square,0,1195,520,
92,point,Warren Street,0,1117,698,
93,point,Goodge Street,0,1140,652,
94,point,South Kensington,0,755,299,
95,point,Gloster Road,0,669,312,
96,point,High Street Kensington,0,598,371,
97,point,Notting Hill,0,478,582,
98,point,Latimer Road,0,405,536,
99,point,Uxbridge Road,0,494,457,
100,point,Wood Lane,0,365,494,
101,point,Addison Road,0,477,352,
102,point,Earls Court,0,562,285,
103,point,Sheperds Bush,0,434,455,
104,point,Hammersmith,0,330,286,
105,point,Turnham Green,0,133,318,
106,point,Ravenscourt Park,0,235,318,
107,point,West Kensington,0,483,261,
108,point,West Brompton,0,586,188,
109,point,Walham Green,0,571,125,
110,point,Parsons Green,0,545,70,
111,point,Aldgate,0,1677,594,
112,point,Barons Court,0,407,278,